PlaceB,PlaceW,BLACK,WHITE,placeW
f3,,4,1,
,,3,3,f2
e2,,5,2,
,,4,4,d2
,,3,5,d2
c5,,5,4,
,,4,6,g4
c2,,6,5,
,,5,7,f4
NONE4,,8,5,
,,7,7,g5
g3,,10,5,
,,9,7,NONE2
f5,,11,6,
,,10,8,b2
NONE5,,12,7,
,,10,10,e5
,,9,11,e5
NONE3,,11,10,
,,10,12,g2
d5,,12,11,
,,11,13,c3
f1,,15,10,
f1,,16,9,
,,15,11,g0
f0,,17,10,
,,16,12,e0
a2,,21,8,
,,20,10,e1
,,19,11,e1
d0,,21,10,
,,20,12,c0
c4,,22,11,
c4,,24,9,
,,23,11,b4
,,21,13,b4
a5,,25,10,
,,24,12,e6
,,23,13,e6
e7,,28,9,
,,27,11,f7
d7,,29,10,
,,28,12,c6
c7,,32,9,
,,31,11,f6
,,26,16,f6
d6,,29,14,
d6,,31,12,
,,30,14,NONE1
NONE0,,33,12,
,,32,14,d1
,,31,15,d1
g7,,33,14,
g7,,34,13,
,,31,17,b6
b5,,33,16,
,,32,18,c1
a7,,34,17,
,,31,21,b7
b0,,37,16,
b0,,40,13,
,,35,19,NONE7
g6,,38,17,
,,34,22,NONE6
g1,,38,19,
g1,,39,18,
g1,,40,17,
,,38,20,a1
a0,,40,19,
,,36,24,b1
a3,,38,23,
,,36,26,a4
,,35,27,a4
b3,,38,25,
b3,,39,24,
b3,,41,22,
,,40,24,a6
,,39,25,a6
,,38,26,a6
